customer_id,execution_order,time_a,time_b
62,B_then_A,7.257100514834747e-05,7.590199675178155e-05
63,B_then_A,7.055499736452475e-05,7.278400153154507e-05
64,A_then_B,7.233399810502306e-05,7.260500569827855e-05
65,A_then_B,8.006900316104293e-05,7.427699893014506e-05
66,B_then_A,7.473000005120412e-05,7.456400635419413e-05
67,B_then_A,7.26610014680773e-05,7.528700371040031e-05
68,A_then_B,8.06460011517629e-05,7.251399802044034e-05
69,B_then_A,7.213399658212438e-05,7.330100197577849e-05
70,B_then_A,6.988200038904324e-05,7.463999645551667e-05
71,B_then_A,7.013000140432268e-05,7.187599840108305e-05
72,A_then_B,7.172200275817886e-05,7.023999933153391e-05
73,B_then_A,7.060700590955094e-05,7.144700066419318e-05
74,B_then_A,6.977700104471296e-05,7.168400043155998e-05
75,A_then_B,7.764600013615564e-05,7.223599823191762e-05
76,A_then_B,7.176999497460201e-05,7.163600093917921e-05
77,A_then_B,7.229899347294122e-05,7.094700413290411e-05
78,B_then_A,7.147299766074866e-05,7.229299808386713e-05
79,B_then_A,7.161700341384858e-05,7.200500112958252e-05
80,A_then_B,7.201299740700051e-05,6.98689982527867e-05
81,B_then_A,7.001600170042366e-05,7.244199514389038e-05
82,A_then_B,7.873999857110903e-05,8.63130044308491e-05
83,B_then_A,7.045199890853837e-05,7.21100004739128e-05
84,A_then_B,6.981300248298794e-05,6.865199975436553e-05
85,A_then_B,6.990700057940558e-05,6.967000081203878e-05
86,A_then_B,6.932000542292371e-05,6.943100015632808e-05
87,A_then_B,7.047400140436366e-05,6.931299867574126e-05
88,A_then_B,7.006899977568537e-05,8.897099905880168e-05
89,B_then_A,6.937000580364838e-05,8.732800051802769e-05
90,A_then_B,7.014499715296552e-05,6.888500502100214e-05
91,A_then_B,7.053099398035556e-05,6.867299816804007e-05
92,A_then_B,6.983500497881323e-05,6.873799429740757e-05
93,B_then_A,6.904500332893804e-05,7.022600038908422e-05
94,A_then_B,7.052000000840053e-05,6.917300197528675e-05
95,A_then_B,7.019400072749704e-05,0.00011485000140964985
96,A_then_B,7.042200013529509e-05,6.926599598955363e-05
97,B_then_A,6.945099448785186e-05,7.003299833741039e-05
98,A_then_B,7.031499990262091e-05,7.02580000506714e-05
99,A_then_B,7.053100125631317e-05,6.902099994476885e-05
100,B_then_A,6.945600034669042e-05,7.030900451354682e-05
